Age,Gender,fav_music_genre
20-35,0,Melody
20-12,1,Rap
35-60,2,Pop
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,"Classical & melody, dance"
20-35,0,Melody
20-35,0,classical
20-35,1,Rock
20-35,0,Pop
20-12,1,Rap
35-60,1,Old songs
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-12,1,Pop
20-12,1,Pop
20-35,0,Melody
20-12,1,Rap
20-35,0,Pop
20-35,0,Melody
20-12,0,Melody
20-12,0,Pop
20-12,0,Melody
20-12,1,Pop
20-12,0,Pop
20-12,1,classical
20-35,0,Melody
20-35,1,Melody
20-12,1,classical
35-60,1,Melody
20-35,0,Melody
20-35,1,Electronic/Dance
20-35,1,Melody
20-12,0,Pop
20-35,1,Rap
20-35,0,Melody
20-35,0,Pop
20-12,0,All
20-35,1,classical
20-35,0,Melody
20-35,0,Pop
20-35,1,Pop
20-35,1,classical
20-35,1,Pop
20-35,1,Melody
20-35,0,Melody
20-12,1,Rap
20-35,1,Melody
20-35,1,Melody
20-35,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Electronic/Dance
20-35,0,Melody
20-35,0,Melody
20-12,0,Melody
20-35,2,Rap
20-35,0,Rap
35-60,1,Pop
20-12,0,Melody
20-12,0,classical
20-35,0,Melody
20-12,0,Rap
35-60,1,classical
20-12,2,Melody
20-35,0,Melody
20-35,1,Rap
20-12,1,Rap
20-35,0,Melody
20-35,0,Electronic/Dance
35-60,2,classical
20-35,0,Melody
20-35,0,classical
20-35,0,Melody
20-12,0,Melody
20-35,0,Melody
20-35,1,Rap
20-35,1,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Pop
20-35,1,Pop
20-35,0,Melody
20-35,0,Pop
20-35,1,classical
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,0,Melody
20-35,0,Pop
20-35,0,Pop
20-35,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Kpop
20-35,0,Melody
20-35,0,Melody
20-35,1,classical
20-35,1,All
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-12,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Electronic/Dance
20-35,0,Melody
20-35,1,Rap
20-35,0,Melody
20-35,1,Melody
20-35,1,Rap
35-60,1,Melody
20-35,0,Melody
20-35,1,Rock
20-35,0,Pop
20-35,1,Melody
35-60,0,classical
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,1,Pop
20-12,1,Melody
20-35,1,Melody
20-35,0,Electronic/Dance
20-35,0,Pop
20-35,0,classical
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,0,Melody
20-35,1,Electronic/Dance
20-35,1,classical
20-35,1,Melody
20-35,0,Melody
20-35,1,Melody
20-35,1,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-12,0,classical
20-35,0,Rap
20-12,0,classical
20-12,0,Rap
20-12,0,classical
20-35,0,classical
20-35,0,classical
20-12,0,classical
6-12,0,classical
20-35,0,classical
35-60,1,Melody
20-12,1,Rap
20-12,0,classical
20-35,0,classical
20-35,0,classical
35-60,0,classical
20-35,0,classical
20-12,0,classical
35-60,2,Electronic/Dance
20-35,0,Rap
20-35,2,classical
35-60,0,Melody
20-12,1,Melody
35-60,1,Melody
20-35,0,Melody
20-35,1,trending songs random
20-35,1,Melody
35-60,0,Melody
20-35,0,Melody
20-35,0,Melody
35-60,0,Melody
20-35,0,Electronic/Dance
20-35,0,Melody
20-35,0,Pop
20-35,1,Melody
20-35,1,Melody
20-35,0,Pop
20-35,0,Pop
20-35,0,Melody
20-35,1,classical
20-35,1,Melody
20-35,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,classical
20-35,0,classical
20-35,0,Melody
20-35,0,Melody
20-35,1,Melody
20-35,1,classical
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,1,Rock
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Rap
20-35,1,Melody
20-35,1,Pop
20-35,1,Melody
20-35,1,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,classical
20-35,0,Melody
20-35,0,Melody
20-35,0,All
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-12,1,classical
20-12,1,classical
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,classical
20-35,0,Pop
20-35,1,All
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,1,Rap
20-35,0,Pop
20-12,1,Pop
20-35,0,Melody
20-35,0,Electronic/Dance
20-35,0,Pop
20-35,0,Kpop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,classical
20-12,0,classical
20-35,0,classical
20-12,0,Rap
20-35,0,classical
20-35,0,Rap
20-12,0,classical
20-12,0,Melody
20-12,0,Rap
20-35,0,classical
20-35,0,classical
20-35,0,Rap
20-35,0,Pop
20-35,2,classical
20-35,0,classical
20-35,0,Melody
20-35,0,classical
20-35,0,classical
20-12,0,Rap
20-12,0,classical
20-35,0,classical
35-60,0,classical
35-60,0,Pop
35-60,0,Melody
20-35,0,classical
20-12,0,Melody
20-35,0,classical
20-12,0,Rap
20-35,0,Melody
35-60,0,Rap
20-35,0,Rap
20-35,1,Melody
20-35,0,Rap
20-35,0,classical
20-35,0,Melody
20-35,0,classical
20-35,0,Rap
20-35,0,classical
20-35,0,Rap
20-35,0,Melody
20-12,0,classical
20-35,0,Melody
20-35,2,classical
20-12,0,classical
20-35,0,Melody
20-35,0,Melody
20-35,0,Rap
20-12,0,classical
20-12,0,classical
20-35,0,Pop
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,classical
20-35,0,classical
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,0,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,1,Rap
20-35,0,classical
20-35,0,Melody
20-12,1,Melody
20-35,0,Electronic/Dance
20-35,0,Melody
20-35,0,Pop
20-35,0,Pop
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,classical
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,1,Electronic/Dance
20-35,0,Melody
20-35,1,classical
60+,0,Melody
20-35,0,Pop
20-35,1,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Kpop
20-35,0,All
20-12,1,Pop
20-35,1,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,1,Melody
20-35,0,Pop
20-35,0,Melody
20-12,0,Pop
20-35,0,Melody
20-35,0,Rap
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Electronic/Dance
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-12,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,All
20-35,0,Melody
20-35,0,Melody
20-35,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,Melody
20-35,0,classical
20-35,0,Melody
20-35,0,Electronic/Dance
20-35,1,Melody
20-12,0,Melody
20-12,0,Rap
20-35,0,Rap
20-35,0,Melody
20-35,0,Melody
35-60,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Electronic/Dance
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,0,Pop
20-35,0,Pop
20-35,0,Melody
20-12,0,Melody
20-35,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,Pop
20-35,0,Pop
20-35,0,Melody
20-35,0,Pop
20-35,0,Pop
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,Rock
20-35,0,Pop
20-35,0,Melody
20-35,0,Electronic/Dance
20-35,0,Melody
20-35,0,"Classical & melody, dance"
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Melody
20-35,1,classical
20-35,1,classical
20-35,0,Melody
20-35,0,Pop
20-35,0,Melody
20-12,2,Rap
20-12,0,classical
20-12,0,Rap
20-12,0,Rap
20-35,0,Rap
20-35,0,Rap
20-35,2,Rap
20-35,0,classical
20-35,0,Rap
35-60,0,Rap
35-60,0,Rap
20-35,2,Rap
20-35,0,Electronic/Dance
20-12,0,Rap
35-60,0,Melody
20-35,0,classical
20-35,0,classical
20-35,1,classical
20-35,0,Rap
20-12,1,classical
20-35,2,Rap
20-35,0,classical
20-12,0,Rap
20-12,0,Melody
20-12,0,Melody
20-35,1,Melody
20-35,0,classical
20-35,0,Melody
6-12,2,Rap
20-12,1,classical
6-12,2,classical
20-35,0,Rap
20-35,1,classical
20-35,1,Rap
20-35,0,classical
20-35,0,Rap
20-35,0,Rap
20-12,1,classical
20-12,0,Pop
20-12,2,classical
20-12,1,classical
20-35,0,classical
20-35,1,classical
20-35,0,classical
20-12,0,Rap
20-35,0,Melody
20-35,1,Melody
20-35,0,Melody
20-35,0,Melody
20-35,0,Kpop
20-35,0,Melody
20-35,0,Pop
20-35,0,Pop
20-35,0,Pop
20-35,0,Melody
20-35,0,Pop
